from;to
stakeholders;stakeholder
stalk;menguntit
stalking;menguntit
stance;pendirian
standart;standar
standby;bersiap
started;dimulai
stasium;stasiun
stat;tetap
state;negara
stated;dinyatakan
stategis;strategis
statemen;pernyataan
statement;pernyataan
statementnya;pernyataan
statment;statment
stats;status
statu;status
stay;tetap
staysafe;tetap aman
stelah;setelah
stengah;setengah
still;masih
stlh;setelah
stori;story
storynya;story
streesnya;stres
street;jalan
stress;stres
strikes;pemogokan
strong;kuat
stronger;lebih kuat
stronghold;kubu
structural;struktural
struggle;perjuangan
stu;satu
student;murid
students;murid
studies;studi
study;studi
stuju;setuju
stup d;bodoh
stupid;bodoh
style;gaya
su;asu
suarainvestor;suara investor
suarasurabaya;suara surabaya
suasana;suasana
subklaster;sub klaster
submitkepresiden;submit ke presiden
substantial;substansial
substnsi;substansi
subtansi;substansi
subyek;subjek
such;seperti itu
sudahjadiuudanukurankertaslegalgaktaubakalanberubahlagiapaenggakyakirakiragokilgokilgokil;sudah jadi undang undang dan ukuran kertas legal enggak tau bakalan berubah lagi apa enggak ya kira kira gokil gokil gokil
sudan;sudah
sukaduit;suka duit
sukarno;soekarno
sukur;syukur
sulsel;sulawesi selatan
sulteng;sulawesi tengah
sultra;sulawesi tenggara
sumatra;sumatera
sumbar;sumatera barat
summary;ringkasan
sumsel;sumatera selatan
sumth;jumlah
sumut;sumatera utara
sumutaksi;sumatera utara aksi
sungaipenuh;sungai penuh
suntikin;suntik
superpower;super power
supporting;pendukung
surabayaa;surabaya
surati;surat
sure;tentu
suroboyo;surabaya
surpres;surat presiden
surpris;surprise
suru;suruh
survey;survei
sus;sus
sustainabledevgoal;sustainable dev goals
susul;susu
suwal;celana
suwun;terima kasih
swf;dana kekayaan kedaulatan
swipe;geser
swiping;menggesek
swnya;semuanya
sy;saya
sya;saya
syaa;saya
syah;sah
syahkanya;sah
syechnior;senior
syekalee;sekali
syipel;simpel
sys;xyz
ta;xyz
taan;xyz
tae;tahi
taek;tahi
tagline;tag line
tags;tag
tah;xyz
tahapnyajalan;tahap jalan
tahoen;tahun
tahuaturan;tahu aturan
tahun;tahi
tai;tahi
taik;tahi
taiknya;tahi
takbik;takbir
takedown;menjatuhkan
taking;pengambilan
taku;takut
takutin;takut
takutka;takut
talk;bicara
tamansari;taman sari
tandaseru;tanda seru
tandatangani;tanda tangan
tangah;tengah
tangkappembuat;tangkap pembuat
tangkep;tangkap
tangkepin;tangkap
tanglet;tanya
tangmentang;mentang
tangsel;tangerang selatan
tanjungbalai;tanjung balai
tansah;sering
tanyain;tanya
tanyak;tanya
taon;tahun
tap;ketetapan
tapaktuan;tapak tuan
tar;nanti
tara;jarang
tarek;tarik
taroh;taruh
tartib;tertib
tatib;tata tertib
tau;tahu
taun;tahun
tauu;tahu
tb;tiba
tbh;jujur ya
tbtb;tiba tiba
td;tadi
tdak;tidak
tdi;tadi
tdk;tidak
tdkkah;tidak
tdl;tarif dasar listrik
tdpt;terdapat
teacher;guru
team;tim
tear;air mata
teargas;air mata gas
teatrikal;teater
teb;tersebut
tebalnnya;tebal
tebel;tebal
tebelnya;tebal
technically;secara teknis
technology;teknologi
tegakin;tegak
tegasdemo;tegas demo
tekanhakburuh;tekan hak buruh
teken;tekan
teko;datang
telivisi;televisi
telp;telepon
telpon;telepon
temans;teman
temanteman;teman teman
temen;teman
temenan;teman
temenku;teman
temennya;teman
tempat;tempat
tempelin;tempel
tempobersama;tempo bersama
temuin;temu
tenaang;tenang
tenaker;tenaga kerja
tenakes;tenaga kesehatan
tenan;benar benar
tengenmu;tangan
tengerang;tangerang
tenggerang;tangerang
tengkuzulkarnain;tengku zulkarnain
tentram;tenteram
terahir;terakhir
terapin;terap
teratasiruu;teratasi ruu
terbaikk;terbaik
tergesagesa;tergesa gesa
terhadapa;terhadap
terhdap;terhadap
terhdp;terhadap
teridir;terdiri
terimagajimatamu;terima gaji mata kamu
terimakasi;terima kasih
terimakasih;terima kasih
terimakasihh;terima kasih
terjajahkertas;terjajah kertas
terjemahin;terjemah
terjjun;terjun
terkahir;terakhir
terkaiy;terkait
terkayit;terkait
terkhusu;terkhusus
terlibar;terlibat
terminimalisirnya;terminalisir
termsk;ternasuk
teroos;terus
teropongsenayan;teropong senayan
teross;terus
terpecaya;terpercaya
terpropokasi;terprovokasi
terror;teror
tersebutn;tersebut
tersebutsikap;tersebut sikap
terselesaikannn;terselesaikan
terteraruu;tertera rancangan undang undang
terttup;tertutup
terupdate;update
terusno;teruskan
teruss;terus
teryanta;ternyata
teryata;ternyata
test;tes
tetang;tentang
tetaph;tetap
tetep;tetap
tetiba;tiba tiba
tetmakan;termakan
teu;tidak
teutama;terutama
text;teks
tggung;tanggung
tgif;terima kasih tuhan hari ini jumat
tgl;tanggal
tgs;tugas
th;tahun
thai;thailand
than;dari
thank;terima kasih
thanks;terima kasih
thankyo;terima kasih
that;itu
thd;terhadap
thdp;terhadap
the;xyz
theater;teater
their;mereka
them;mereka
then;kemudian
therapist;dokter
there;sana
these;ini
they;mereka
thing;benda
things;sesuatu
thingy;benda
think;berpikir
thinkerbell;tinker bell
thinkin;berpikir
thinking;berpikir
this;ini
thn;tahun
tho;xyz
thoroughly;sepenuhnya
though;meskipun
thought;pikir
thousands;ribuan
thread;utas
threat;gertak
threshold;ambang
through;lewat
thru;melalui
tht;itu
thursday;kamis
thx;terima kasih
ti;xyz
tiati;hati hati
tibo;jatuh
tid;tidak
tida;tidak
tidak;tidak
tidor;tidur
tik;ketik
tikt;tiktok
tiktod;tiktok
tikum;titik kumpul
tilil;tolol
time;waktu
times;waktu
timesindonesia;waktu indonesia
timgreentea;tim green tea
timing;waktu
timmus;tim perumus
timsin;tim sinkronisasi
timsus;tim sukses
timus;tim perumus
tindakam;tindakan
tindihdede;tindih dede
tinggaljilid;tinggal jilid
tinggl;tinggal
tingkatkaninvestasi;tingkatkan investasi
tipi;televisi
tirtobelum;tirto belum
tisak;tidak
titid;titit
title;judul
tivi;televisi
tjd;terjadi
tk;tak
tka;tenaga kerja asing
tkt;takut
tkutin;takut
tkw;tenaga kerja wanita
tl;telegram
tlg;tolong
tlh;telah
tllu;tiga
tlong;tolong
tmenku;teman aku
tmpt;tempat
tngkat;tingkat
tnm;tanam
tnp;tanpa
tnpa;tanpa
tntang;tentang
tntg;tentang
tntng;tentang
tnton;tonton
tny;tanya
tnya;tanya
to;ke
toak;toa
today;hari ini
together;bersama
tok;xyz
tolakomnibuslaw;tolak omnibus law
tolakuu;tolak undang undang
told;diberitahu
tololransi;tolol
tololtweet;tolol tweet
tolongg;tolong
tomato;tomat
tone;nada
too;juga
took;mengambil
topic;topik
topik;topik
tot;entot
totanya;totalnya
touche;sentuh
toward;terhadap
towards;terhadap
tp;tapi
tpai;tapi
tpi;tapi
tpt;tepat
tpu;tempat pemilihan umum
tq;terima kasih
track;jalur
trade;dagang
tradisionalkoral;tradisional koral
tradisionalruu;tradisional rancangan undang undang
tragic;tragis
training;pelatihan
tranding;trending
tranparan;transparan
tranparansinya;transparansi
transaction;transaksi
transjakartasptj;transjakarta bptj
translatenya;terjemah
transparansiny;transparansi
transparasinya;transparansi
trap;jebakan
trauma;trauma
travel;perjalanan
trcipta;tercipta
tread;utas
treatment;penanganan
tren;trending
trend;trending
tresnoku;tresna aku
trhadap;terhadap
tribunne;tribun
tribunnews;tribun news
trick;trik
triger;picu
trigger;picu
triliun;triliun
trilyun;triliun
trima;terima
trimo;terima
tripatrit;tripartit
triple;tiga kali lipat
tripnas;tripatrit nasional
trit;utas
trjadi;terjadi
trjd;terjadi
trjdi;terjadi
trkait;terkait
trks;terima kasih
trlalu;terlalu
trmasuk;termasuk
trmsk;termasuk
trn;turun
trnyata;ternyata
trnyt;ternyata
trnyta;ternyata
trprovokasi;terprovokasi
trs;terus
trsbt;tersebut
trserh;terserah
trsingkir;tersingkir
truly;sungguh
trun;turun
trus;terus
truss;terus
trust;percaya
trutama;terutama
try;coba
trying;coba
tsb;tersebut
tsbt;tersebut
tsk;xyz
ttd;tanda tangan
ttep;tetap
ttg;tentang
tth;tentang
ttk;tenaga teknis kefarmasian
ttng;tentang
ttp;tetap
ttt;xyz
ttuntas;tuntas
tu;itu
tuch;itu
tuesday;selasa
tugasin;tugas
tuh;itu
tuhh;itu
tujuanya;tujuan
tuk;untuk
tul;betul
tunggale;tunggal
tunjukinlah;tunjukkanlah
tuntutny;tuntut
tupoksi;tugas pokok dan fungsi
tupoksinya;tugas pokok dan fungsi
turah;berlebihan
turn on;nyalakan
turub;turun
turunin;turun
turunnin;turun
tutupin;tutup
tuu;itu
tv;televisi
tvdipandu;televisi dipandu
tweeited;tweet
tweeps;tweep
tweet;tweet
tweetmu;tweet
tweets;tweet
twelve;duabelas
tweps;tweep
twet;tweet
twetter;twitter
twist;memutar
twit;tweet
twiter;twitter
twk;tes wawasan kebangsaan
twolol;tolol
twt;tweet
txtdaripemerintah;teks dari pemerintah
ty;terima kasih
typo;salah ketik
typonya;salah ketik
ubas;sabu
ud;sudah
uda;sudah
udaaa;sudah
udaah;sudah
udah;sudah
udahgakakanrevisi;sudah gak akan revisi
udahlah;sudahlah
udeh;sudah
udh;sudah
udsh;sudah
udu;bukan
ue;xyz
uforia;euforia
uga;juga
ugalanruu;ugalan rancangan undang undang
uhuk;xyz
uhuy;xyz
uigm;ui ugm
ujan;hujan
ujanan;hujan
ujug;tiba
ujuk;tiba
ulangin;ulang
ulangtaun;ulang tahun
ultah;ulang tahun
um;upah minimum
umah;rumah
umbara;umbar
umk;upah minimum
umkm;usaha mikro kecil menengah
umkmmenaker;usaha mikro kecil menengah menteri ketenagakerjaan
umnibuslow;omnibus law
umrtweet;umr tweet
umsp;upah minimum sektoral provinsi
uncle;paman
und;undangan
undan;undang
undanf;undang
undangangan;undang
undangketua;undang ketua
undangmemiliki;undang memiliki
undangundang;undang undang
undermines;merusak
understand;memahami
understood;mengerti
undertable;dibawah meja
underwood;dibawah kayu
unfair;tidak adil
unfortunately;sayangnya
union;serikat
unions;serikat pekerja
univ;universitas
universe;alam semesta
univku;universitas aku
univrtas;universitas
unjukrasa;unjuk rasa
unjust;tidak adil
unpopular;tidak populer
unroll;membeberkan
unsettling;mengganggu
unstable;tidak stabil
unt;untuk
untk;untuk
untng;untung
untul;untuk
untun;untung
unyu;imut
uodate;update
updatetan;update
upon;atas
upp;up
ups;xyz
upss;xyz
upsss;xyz
ur;kamu
urgent;urgen
uruh;buruh
urung;belum
urus;urus
urusanya;urus
urusin;urus
usahain;usaha
use;menggunakan
used;bekas
useless;tak berguna
ush;usah
ust;ustaz
ustadz;ustaz
utange;utang
utek;otak
utekku;otak aku
utekmu;otak kamu
utk;untuk
utkmenyusun;untuk menyusun
utopis;utopia
utuk;untuk
uu;undang undang
uuapindo;undang undang apindo
uucilaka;undang undang celaka
uucipker;undang undang cipta kerja
uuciptakerja;undang undang cipta kerja
uuck;undang undang cipta kerja
uud;undang undang dasar
uudinilai;undang undang dinilai
uuditolak;undang undang ditolak
uuk;undang undang ketenagakerjaan
uunya;undang undang
uuobl;undang undang omnibus law
uupolitikus;undang undang politikus
uutk;undang undang tenaga kerja
uuu;kamu
uwong;orang
uwu;imut
validtweet;valid tweet
various;berbagai
vasilitas;fasilitas
vc;video call
verified;diverifikasi
version;versi
versioning;pembuatan versi
versionnya;versi
very;sangat
vetclinic;dokter hewan
via;melalui
vibe;getaran
vice;wakil
viceini;wakil ini
vicon;konferensi video
victim;korban
vid;video
vidio;video
vidioin;video
viewing;penonton
violations;pelanggaran
viralkan;viral
virusindonesia;virus indonesia
vocal;vokal
voice;suara
vote;pilih
vox;suara
voxpop;suara rakyat
vs;lawan
wa;whatsapp
waalaupun;walaupun
wae;hanya
wage;upah
wages;upah
wahahaha;xyz
wait;tunggu
wak;awak
wakakaka;xyz
wakakakakdituduh;dituduh
waketum;wakil ketua umum
wakilin;wakil
wakwkak;xyz
walikota;wali kota
walk;jalan
walkot;wali kota
walkout;keluar
walopun;walaupun
wangune;pastasnya
wani;berani
want;ingin
wapres;wakil presiden
war;perang
wareg;kenyang
warn;peringatan
wartaekonomi;warta ekonomi
wartakota;warta kota
wartakotalive;warta kota live
wartapembaruan;warta pembaruan
wartarinjani;warta rinjani
wasting;menyia nyiakan
watch;menonton
water;air
watercanon;water canon
watir;khawatir
waw;xyz
way;cara
wd;xyz
wdyt;apa yang kamu pikirkan
we;kita
weaken;melemahkan
wealthy;kaya
wear;memakai
wedi;takut
wednesday;rabu
wedok;wanita
week;minggu
weekend;akhir pekan
weeks;minggu
wektu;waktu
wektuku;waktu aku
welcome;selamat datang
welfare;kesejahteraan
well;baik
went;pergi
were;itu
weruh;tahu
wes;sudah
wess;sudah
weteng;perut
wew;xyz
wewenangnya;wewenang
wey;oi
wfh;bekerja dari rumah
wfo;bekerja dari kantor
what;apa
whats;apa
when;kapan
where;dimana
which;yang
white;putih
who;siapa
whole;seluruh
wht;apa
why;kenapa
will;akan
willy;mau
wilujeng;selamat
win;menang
winstreak;win streak
wis;sudah
wish;ingin
with;dengan
within;dalam
wjr;wajar
wk;xyz
wkkwk;xyz
wkpolitikus;politikus
wksksk;xyz
wksksk;xyz
wkt;waktu
wkw;xyz
wkwk;xyz
wkwkk;xyz
wkwkk;xyz
wkwkkq;xyz
wkwkkw;xyz
wkwktweet;tweet
wkwktweet;tweet
wkwktweet;tweet
wkwkw;xyz
wkwkwk;xyz
wkwkwkwk;xyz
wkwkwkwkwk;xyz
wkwkwkwkwk;xyz
wkwkwkwkwkwk;xyz
wkwkwkwkwkwkwkwk;xyz
wkwwk;xyz
wlaupun;walaupun
wliga;liga
wo;keluar
woe;oi
woi;oi
woii;oi
woitweet;oi tweet
woman;perempuan
women;perempuan
womg;orang
wonder;bertanya tanya
wonderful;hebat
wongcilik;orang kecil
wongtuwo;orang tua
wonjunshu;won junshu
woooggghhh;xyz
woooyyy;oi
work;kerja
worker;pekerja
workers;pekerja
works;bekerja
world;dunia
worldbank;bank dunia
worst;buruk
would;akan
wowsiapakah;wow siapakah
woy;oi
woyy;oi
woyyy;oi
wqwqwq;xyz
wrb;wr wb
writer;penulis
wrong;salah
wrongs;kesalahan
ws;sudah
wtf;what the fuck
wth;what the hell
wto;organisasi perdagangan internasional
wuahahahaasyyy;xyz
wuiih;wow
wuy;oi
wwkwkkw;xyz
wwkwkwkwk;xyz
xbuat;buat
xd;xyz
xixixi;xyz
xixixixi;xyz
xnews;news
yaa;ya
yaak;ya
yaallah;ya allah
yaampun;ya ampun
yabg;yang
yag;yang
yagitu;ya begitu
yah;ya
yahh;ya
yak;ya 
yakali;ya kali
yakalo;ya kalau
yakh;ya
yakindeh;yakin deh
yakinn;yakin
yaknik;yakni
yall;kalian semua
yangdipimpin;yang dipimpin
yangnamanya;yang namanya
yangpresiden;yang presiden
yanh;yang
yank;sayang
yanng;yang
yaolohh;ya allah
yap;ya
yarobbal;ya robbal
yaruu;ya rancangan undang undang
yatuhan;ya tuhan
yatweet;ya tweet
yauda;ya sudah
yaudah;ya sudah
yawla;ya allah
ybs;yang bersangkutan
ye;ya
yeah;ya
year;tahun
years;tahun
yee;ya
yere;xyz
yes;ya
yess;ya
yet;namun
yg;yang
yg;yang
ygberubah;yang berubah
yh;ya
yha;ya
yhh;ya
yi;xyz
ylbhi;yayasan lbh indonesia
ylrakyatlah;rakyat
yng;yang
ynwa;kamu tidak akan pernah sendiri
yo;ya
yogia;yogya
yok;ya
yokpo;ya apa
yomen;ya
you;kamu
your;kamu
yourself;dirimu sendiri
youth;pemuda
youtubeinilah;youtube inilah
yowes;ya sudah
yra;ya rab
yt;youtube
yth;yang terhormat
yuk;ayo
yuk;ayo
yukk;ayo
yutub;youtube
yutube;youtube
yutubnya;youtube
yuu;ayo
yuuk;ayo
yuwono;ayo
zamanmengulik;zaman mengulik
zeei;zona ekonomi eksklusif indonesia
zolim;zalim
zolimi;zalim
zonajakarta;zona jakarta
zonasatunews;zona satu news
zone;zona
zzz;xyz
